rank,lemma,pos,count
922,comienzo,NOUN,4
923,república,PROPN,4
924,mes,NOUN,4
925,declaración,NOUN,4
926,gubernamental,ADJ,4
927,republicano,ADJ,4
928,municipal,ADJ,4
929,izquierda,NOUN,4
930,derecha,NOUN,4
931,relevante,ADJ,4
932,ciudadano,NOUN,4
933,reconocimiento,NOUN,4
934,voto,NOUN,4
935,conducir,VERB,4
936,exterior,NOUN,4
937,divisa,NOUN,4
938,adolfo,PROPN,4
939,junio,NOUN,4
940,orden,NOUN,4
941,absoluto,ADJ,4
942,reconversión,NOUN,4
943,ciudad,PROPN,4
944,cultura,PROPN,4
945,inmigrante,NOUN,4
946,resolución,NOUN,4
947,zapatero,PROPN,4
948,generales,PROPN,4
949,sanitario,ADJ,4
950,valle,PROPN,4
951,supremo,PROPN,4
952,pandemia,NOUN,4
953,cualquiera,DET,4
954,deber,AUX,4
955,competente,ADJ,4
956,cuando,PRON,4
957,senado,PROPN,4
958,lista,NOUN,4
959,administrar,VERB,4
960,ascenso,NOUN,4
961,especial,ADJ,4
962,residencia,NOUN,4
963,tratado,PROPN,4
964,cuerpo,NOUN,4
965,administración,PROPN,4
966,porcentaje,NOUN,4
967,derechos,PROPN,4
968,procesar,VERB,4
969,educativo,ADJ,4
970,estatu,NOUN,4
971,acuerdo,PROPN,4
972,territorio,PROPN,4
973,investigación,NOUN,4
974,aéreo,ADJ,4
975,protegido,ADJ,4
976,emisión,NOUN,4
977,tradición,NOUN,4
978,horario,NOUN,4
979,residente,ADJ,4
980,inmigración,NOUN,4
981,tender,VERB,4
982,proceder,VERB,4
983,trabajador,NOUN,4
984,vista,PROPN,4
985,aportar,VERB,4
986,alrededor,ADV,4
987,equivalente,ADJ,4
988,balanza,NOUN,4
989,petróleo,NOUN,4
990,sector,PROPN,4
991,productor,NOUN,4
992,regadío,NOUN,4
993,extremadura,PROPN,4
994,mineral,NOUN,4
995,vehículo,NOUN,4
996,bebida,NOUN,4
997,valenciana,PROPN,4
998,pues,SCONJ,4
999,ferrocarril,NOUN,4
1000,original,ADJ,4
1001,fijo,ADJ,4
1002,cobertura,NOUN,4
1003,energía,PROPN,4
1004,ir,VERB,4
1005,eólico,ADJ,4
1006,relevancia,NOUN,4
1007,cable,NOUN,4
1008,ejemplo,NOUN,4
1009,joven,ADJ,4
1010,fiesta,PROPN,4
1011,día,PROPN,4
1012,iglesia,PROPN,4
1013,toro,NOUN,4
1014,cooficialidad,NOUN,4
1015,habla,NOUN,4
1016,cis,PROPN,4
1017,medios,PROPN,4
1018,diecisiete,NUM,3
1019,cincuenta,NUM,3
1020,totalmente,ADV,3
1021,densidad,NOUN,3
1022,contexto,NOUN,3
1023,compartir,VERB,3
1024,oeste,NOUN,3
1025,materno,ADJ,3
1026,albergar,VERB,3
1027,bruto,ADJ,3
1028,colocar,VERB,3
1029,índice,NOUN,3
1030,informe,NOUN,3
1031,comercio,PROPN,3
1032,eurozona,NOUN,3
1033,tarde,ADV,3
1034,unión,NOUN,3
1035,gobernar,VERB,3
1036,abarcar,VERB,3
1037,vasto,ADJ,3
1038,república,NOUN,3
1039,nuevamente,ADV,3
1040,modernización,NOUN,3
1041,ratificación,NOUN,3
1042,significativamente,ADV,3
1043,milagro,NOUN,3
